[INFO ] [2023-02-27 10:52:00,888] Click to Login button
[INFO ] [2023-02-27 10:52:00,987] Verify error message when input Valid username and Invalid password
[INFO ] [2023-02-27 10:52:01,065]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:10,781] Send key to User Name field
[INFO ] [2023-02-27 10:52:10,930] Send key to Password field
[INFO ] [2023-02-27 10:52:11,071] Click to Login button
[INFO ] [2023-02-27 10:52:11,202] Verify login success through home page title
[INFO ] [2023-02-27 10:52:11,240]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:11,241] Close
[INFO ] [2023-02-27 10:52:47,754] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:52:50,588] Login to System
[INFO ] [2023-02-27 10:52:51,119] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:52:52,799] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:52:54,754] Login to System
[INFO ] [2023-02-27 10:52:55,376] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-27 10:52:57,158] Login to System
[INFO ] [2023-02-27 10:52:57,829] Send key to User Name field
[INFO ] [2023-02-27 10:52:58,037] Send key to Password field
[INFO ] [2023-02-27 10:52:58,195] Click to Login button
[INFO ] [2023-02-27 10:52:58,319] Verify login success through home page title
[INFO ] [2023-02-27 10:52:58,345]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:58,348] Select sort from drop down with Name (A to Z)
[INFO ] [2023-02-27 10:52:58,473] Compare the name after sort is equal
[INFO ] [2023-02-27 10:52:58,619]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:58,619] Select sort from drop down with Name (Z to A)
[INFO ] [2023-02-27 10:52:58,780] Compare the name after sort is equal
[INFO ] [2023-02-27 10:52:58,846]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:58,847] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-27 10:52:58,931] Is quantity increase to 1
[INFO ] [2023-02-27 10:52:59,006]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:59,007] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-27 10:52:59,101]  Step 2: Click to Cart button
[INFO ] [2023-02-27 10:52:59,210] Is Your Card page displayed
[INFO ] [2023-02-27 10:52:59,285]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-27 10:52:59,285] Check selected item is displayed in cart
[INFO ] [2023-02-27 10:53:09,829] Close
