[INFO ] [2023-02-23 23:22:30,399] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-23 23:22:36,332] Login to System
[INFO ] [2023-02-23 23:22:37,398]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 23:22:37,604]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-23 23:22:37,913]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-23 23:22:38,355] Close
[INFO ] [2023-02-24 09:46:38,003] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 09:46:40,777] Login to System
[INFO ] [2023-02-24 09:46:41,525]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:46:41,743]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:46:41,978]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 09:46:42,339] Close
[INFO ] [2023-02-24 09:47:05,529] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 09:47:08,535] Login to System
[INFO ] [2023-02-24 09:47:57,043]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:48:57,622] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 09:49:00,361] Login to System
[INFO ] [2023-02-24 09:49:01,078]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:49:01,401]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 09:49:01,640]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 09:49:01,981] Close
[INFO ] [2023-02-24 11:34:42,234] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 11:34:44,861] Login to System
[INFO ] [2023-02-24 11:34:45,413] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 11:34:45,523] Is quantity increase to 1
[INFO ] [2023-02-24 11:34:45,605]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 11:34:45,609] Close
[INFO ] [2023-02-24 11:45:07,798] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 11:45:10,382] Login to System
[INFO ] [2023-02-24 11:45:10,953] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 11:45:11,056] Is quantity increase to 1
[INFO ] [2023-02-24 11:45:11,111]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 11:45:11,113] CLick to second item 
[INFO ] [2023-02-24 11:45:11,209] CLick to third item 
[INFO ] [2023-02-24 11:45:11,288] Is quantity increase to 3
[INFO ] [2023-02-24 11:45:11,344]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 11:45:11,671] Close
[INFO ] [2023-02-24 11:46:47,846] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 11:46:50,430] Login to System
[INFO ] [2023-02-24 11:46:51,066] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 11:46:51,171] Is quantity increase to 1
[INFO ] [2023-02-24 11:46:51,231]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 11:46:51,233] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 11:46:51,315] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 11:46:51,403] Is quantity increase to 3
[INFO ] [2023-02-24 11:46:51,459]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 11:46:51,842] Close
[INFO ] [2023-02-24 11:48:43,923] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 11:48:46,570] Login to System
[INFO ] [2023-02-24 11:48:47,125] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 11:48:47,233] Is quantity increase to 1
[INFO ] [2023-02-24 11:48:47,299]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 11:48:47,301] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 11:48:47,397] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 11:48:49,490] Is quantity increase to 3
[INFO ] [2023-02-24 11:48:49,560]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 11:48:49,924] Close
[INFO ] [2023-02-24 11:50:00,793] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 11:50:03,412] Login to System
[INFO ] [2023-02-24 11:50:04,048] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 11:50:04,144] Is quantity increase to 1
[INFO ] [2023-02-24 11:50:04,240]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 11:50:04,243] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 11:50:04,333] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 11:50:06,420] Is quantity increase to 3
[INFO ] [2023-02-24 11:50:06,478]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 11:50:06,479] Close
[INFO ] [2023-02-24 12:01:04,056] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 12:01:06,795] Login to System
[INFO ] [2023-02-24 12:01:07,367] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 12:01:07,563] Is quantity increase to 1
[INFO ] [2023-02-24 12:01:07,619]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:01:07,620] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 12:01:07,710] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 12:01:09,798] Is quantity increase to 3
[INFO ] [2023-02-24 12:01:09,859]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:01:09,859] Remove all selected item added to cart
[INFO ] [2023-02-24 12:01:10,122] Is Cart Quantity displayed
[INFO ] [2023-02-24 12:01:30,174] Close
[INFO ] [2023-02-24 12:03:22,216] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 12:03:24,801] Login to System
[INFO ] [2023-02-24 12:03:25,401] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 12:03:25,482] Is quantity increase to 1
[INFO ] [2023-02-24 12:03:25,571]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:03:25,573] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 12:03:25,673] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 12:03:27,789] Is quantity increase to 3
[INFO ] [2023-02-24 12:03:27,848]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:03:27,849] Remove all selected item added to cart
[INFO ] [2023-02-24 12:03:28,083] Is Cart Quantity displayed
[INFO ] [2023-02-24 12:03:48,094]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:03:48,095] Close
[INFO ] [2023-02-24 12:07:52,922] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 12:07:55,444] Login to System
[INFO ] [2023-02-24 12:07:56,028] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 12:07:56,139] Is quantity increase to 1
[INFO ] [2023-02-24 12:07:56,200]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:07:56,202] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 12:07:56,297] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 12:07:56,375] Is quantity increase to 3
[INFO ] [2023-02-24 12:07:56,422]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:07:56,422] Remove all selected item added to cart
[INFO ] [2023-02-24 12:07:56,652] Is Cart Quantity displayed
[INFO ] [2023-02-24 12:08:16,705]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:08:16,706] Close
[INFO ] [2023-02-24 12:10:50,718] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 12:10:53,244] Login to System
[INFO ] [2023-02-24 12:10:53,785] CLick to item Sauce Labs Backpack
[INFO ] [2023-02-24 12:10:53,885] Is quantity increase to 1
[INFO ] [2023-02-24 12:10:53,943]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:10:53,946] CLick to second item Sauce Labs Bike Light
[INFO ] [2023-02-24 12:10:54,026] CLick to third item Sauce Labs Bolt T-Shirt
[INFO ] [2023-02-24 12:10:54,106] Is quantity increase to 3
[INFO ] [2023-02-24 12:10:54,152]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:10:54,153] Remove all selected item added to cart
[INFO ] [2023-02-24 12:10:54,382] Is Cart Quantity displayed
[INFO ] [2023-02-24 12:11:14,417]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 12:11:14,418] Close
[INFO ] [2023-02-24 13:47:45,500] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 13:47:48,079] Login to System
[INFO ] [2023-02-24 13:47:48,632] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 13:47:48,744]  Step 2: Click to Cart button
[INFO ] [2023-02-24 13:47:48,835] Is Your Card page displayed
[INFO ] [2023-02-24 13:47:48,912]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:47:48,912] Check selected item is displayed in cart
[INFO ] [2023-02-24 13:47:48,979]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:47:48,979] Step 3: Click Checkout button
[INFO ] [2023-02-24 13:48:09,203] Close
[INFO ] [2023-02-24 13:48:52,906] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 13:48:55,524] Login to System
[INFO ] [2023-02-24 13:48:56,106] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 13:48:56,225]  Step 2: Click to Cart button
[INFO ] [2023-02-24 13:48:56,310] Is Your Card page displayed
[INFO ] [2023-02-24 13:48:56,369]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:48:56,370] Check selected item is displayed in cart
[INFO ] [2023-02-24 13:48:56,460]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:48:56,460] Step 3: Click Checkout button
[INFO ] [2023-02-24 13:48:56,608] Close
[INFO ] [2023-02-24 13:49:59,534] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 13:50:02,400] Login to System
[INFO ] [2023-02-24 13:50:02,998] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 13:50:03,110]  Step 2: Click to Cart button
[INFO ] [2023-02-24 13:50:03,219] Is Your Card page displayed
[INFO ] [2023-02-24 13:50:03,277]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:50:03,277] Check selected item is displayed in cart
[INFO ] [2023-02-24 13:50:03,337]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:50:03,337] Step 3: Click Checkout button
[INFO ] [2023-02-24 13:51:38,199] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 13:51:40,885] Login to System
[INFO ] [2023-02-24 13:51:41,508] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 13:51:41,693]  Step 2: Click to Cart button
[INFO ] [2023-02-24 13:51:41,796] Is Your Card page displayed
[INFO ] [2023-02-24 13:51:41,858]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:51:41,858] Check selected item is displayed in cart
[INFO ] [2023-02-24 13:51:41,932]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:51:41,932] Step 3: Click Checkout button
[INFO ] [2023-02-24 13:51:42,101] Close
[INFO ] [2023-02-24 13:58:38,869] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 13:58:41,401] Login to System
[INFO ] [2023-02-24 13:58:41,974] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 13:58:42,075]  Step 2: Click to Cart button
[INFO ] [2023-02-24 13:58:42,170] Is Your Card page displayed
[INFO ] [2023-02-24 13:58:42,238]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:58:42,238] Check selected item is displayed in cart
[INFO ] [2023-02-24 13:58:42,294]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:58:42,294] Step 3: Click Checkout button
[INFO ] [2023-02-24 13:58:42,452] Close
[INFO ] [2023-02-24 13:59:01,881] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 13:59:04,538] Login to System
[INFO ] [2023-02-24 13:59:05,141] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 13:59:05,268]  Step 2: Click to Cart button
[INFO ] [2023-02-24 13:59:05,385] Is Your Card page displayed
[INFO ] [2023-02-24 13:59:05,456]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:59:05,456] Check selected item is displayed in cart
[INFO ] [2023-02-24 13:59:05,515]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 13:59:05,517] Step 3: Click Checkout button
[INFO ] [2023-02-24 13:59:05,685] Close
[INFO ] [2023-02-24 14:04:00,396] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:04:02,978] Login to System
[INFO ] [2023-02-24 14:04:03,557] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 14:04:03,745]  Step 2: Click to Cart button
[INFO ] [2023-02-24 14:04:03,858] Is Your Card page displayed
[INFO ] [2023-02-24 14:04:03,917]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:04:03,917] Check selected item is displayed in cart
[INFO ] [2023-02-24 14:04:03,978]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:04:03,979] Step 3: Click Checkout button
[INFO ] [2023-02-24 14:04:04,193] Close
[INFO ] [2023-02-24 14:04:35,437] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:04:38,016] Login to System
[INFO ] [2023-02-24 14:04:38,600] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 14:04:38,802]  Step 2: Click to Cart button
[INFO ] [2023-02-24 14:04:38,899] Is Your Card page displayed
[INFO ] [2023-02-24 14:04:38,963]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:04:38,963] Check selected item is displayed in cart
[INFO ] [2023-02-24 14:04:39,023]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:04:39,023] Step 3: Click Checkout button
[INFO ] [2023-02-24 14:04:39,138] Is checkout step 1 displayed
[INFO ] [2023-02-24 14:04:39,189]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:04:39,189] Step 4: Input check out information
[INFO ] [2023-02-24 14:04:39,633] Step 5: Click Continue button
[INFO ] [2023-02-24 14:04:39,742] Is checkout step 2 displayed
[INFO ] [2023-02-24 14:04:39,794]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:04:39,794] Step 6: Click Finish button
[INFO ] [2023-02-24 14:04:39,903] Is checkout Complete page displayed
[INFO ] [2023-02-24 14:04:39,963]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-02-24 14:04:40,130] Close
[INFO ] [2023-02-24 14:05:12,109] Pre condition: Open Browser: chromeand navigate to url:https://www.saucedemo.com/
[INFO ] [2023-02-24 14:05:14,727] Login to System
[INFO ] [2023-02-24 14:05:15,269] Step 1: Add item Sauce Labs Backpack to cart
[INFO ] [2023-02-24 14:05:15,375]  Step 2: Click to Cart button
[INFO ] [2023-02-24 14:05:15,469] Is Your Card page displayed
[INFO ] [2023-02-24 14:05:15,531]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-02-24 14:05:15,531] Check selected item is displayed in cart
[INFO ] [2023-02-24 14:05:15,589]  -------------------------- PASSED -------------------------- 
